iter	RMSE
0	11.44795049
1	11.43608105
2	11.42565134
3	11.41746521
4	11.41105477
5	11.40487334
6	11.40024181
7	11.39529694
8	11.39181673
9	11.38802252
10	11.38487802
11	11.38190052
12	11.3794326
13	11.37696825
14	11.37438563
15	11.37158294
16	11.36922947
17	11.36759983
18	11.36579794
19	11.36426956
20	11.36290741
21	11.36141359
22	11.35960211
23	11.35744012
24	11.35602674
25	11.35483999
26	11.35323113
27	11.35152773
28	11.35067877
29	11.34936062
30	11.34799187
31	11.34618189
32	11.34492511
33	11.34339553
34	11.34206533
35	11.34018188
36	11.3390277
37	11.33761837
38	11.3365076
39	11.33417074
40	11.33259011
41	11.33115319
42	11.33007948
43	11.3287135
44	11.32736598
45	11.32659059
46	11.32508308
47	11.32380065
48	11.32224937
49	11.32085232
50	11.31935703
51	11.31925157
52	11.31842968
53	11.31723034
54	11.31554398
55	11.31456082
56	11.31341985
57	11.31237358
58	11.31090221
59	11.30945837
60	11.30840874
61	11.30690891
62	11.30547186
63	11.30438257
64	11.30316136
65	11.30206639
66	11.30104306
67	11.30041904
68	11.29926469
69	11.29806171
70	11.29660334
71	11.29566593
72	11.29453475
73	11.29341351
74	11.29192518
75	11.29034278
76	11.28874103
77	11.28734898
78	11.28636339
79	11.28528259
80	11.28391902
81	11.28306418
82	11.28216829
83	11.28098362
84	11.27915394
85	11.27780099
86	11.27659953
87	11.27559527
88	11.27451089
89	11.27359428
90	11.27223645
91	11.27147861
92	11.27030671
93	11.26932164
94	11.26777667
95	11.26625064
96	11.26548481
97	11.26448483
98	11.26314488
99	11.2619933
