iter	Passed	Remaining
0	63	6322
1	66	3248
2	68	2225
3	71	1707
4	73	1396
5	75	1187
6	78	1040
7	80	928
8	82	839
9	85	769
10	87	710
11	90	661
12	92	619
13	94	583
14	97	551
15	99	523
16	102	498
17	104	476
18	106	455
19	109	437
20	111	419
21	114	404
22	116	389
23	118	375
24	120	362
25	123	350
26	125	339
27	128	329
28	130	319
29	132	309
30	135	301
31	137	292
32	140	284
33	142	276
34	144	268
35	147	261
36	149	254
37	151	247
38	154	241
39	156	234
40	158	228
41	161	222
42	163	216
43	164	209
44	166	203
45	168	198
46	170	192
47	172	187
48	174	181
49	176	176
50	178	171
51	179	165
52	181	160
53	183	156
54	185	152
55	187	147
56	189	143
57	191	138
58	193	134
59	195	130
60	197	126
61	199	122
62	201	118
63	203	114
64	205	110
65	207	106
66	209	103
67	210	99
68	212	95
69	214	92
70	216	88
71	218	84
72	220	81
73	222	78
74	224	74
75	225	71
76	227	67
77	229	64
78	231	61
79	233	58
80	235	55
81	237	52
82	238	48
83	240	45
84	242	42
85	244	39
86	246	36
87	248	33
88	250	30
89	251	27
90	253	25
91	256	22
92	257	19
93	259	16
94	261	13
95	264	11
96	265	8
97	267	5
98	269	2
99	271	0
